name,price,sum(positive_ratings)
"Sigils of Elohim",0,828
"Icewind Dale: Enhanced Edition",14.99,1420
"Cavern Kings",6.99,3192
"Rising Angels: Reborn",0,1896
Yury,1.59,1180
"Might & Magic Heroes VII",33.99,1438
20XX,10.99,2591
"Geometry Dash",2.79,52737
"SteamWorld Heist",10.99,2660
"Guns Gore & Cannoli",6.99,3300
"Gurumin: A Monstrous Adventure",6.99,2052
"The Repopulation",14.99,3165
"Don't Starve Together",10.99,108601
SUPERHOT,17.99,14847
"Vanishing Realmsâ„¢",15.49,4264
"Worlds Adrift",19.49,2621
"War the Game",4.99,1072
"Warhammer 40000: Regicide",7.19,2316
Tharsis,10.99,1397
Frostpunk,24.99,22952
Vagante,10.99,1662
"Grow Home",6.69,3855
"The Magic Circle",14.99,3144
"Raiden IV: OverKill",10.99,1570
"DRAGON BALL XENOVERSE",31.99,12601
"Oblivious Garden ~Carmina Burana",10.99,2616
"Jotun: Valhalla Edition",11.39,5325
"Decay: The Mare",3.99,2139
"Move or Die",10.99,8633
iO,3.99,2610
"Rising World",10.99,2557
"Bus Simulator 16",13.49,1415
Boundless,32.99,1153
"Halo: Spartan Strike",1.99,1584
"Impossible Creatures Steam Edition",8.99,2193
"To Be or Not To Be",3.99,2970
"Shadow Warrior 2",34.99,10152
TOXIKKâ„¢,0,3865
"Deep Dungeons of Doom",3.99,1760
"Notch - The Innocent LunA: Eclipsed SinnerS",6.99,1734
"Homebrew - Patent Unknown",13.99,591
Fire,7.99,1495
"Total War: ATTILA",29.99,12297
"Viking Squad",10.99,2430
"Shroud of the Avatar: Forsaken Virtues",0,3195
"Sinister City",0.79,1884
"Alchemy Mysteries: Prague Legends",1.59,775
"River City Super Sports Challenge ~All Stars Special~",14.99,2592
Windward,6.99,2203
"ShellShock Live",4.99,11426
"If My Heart Had Wings",10.99,2780
"Warhammer Quest",10.99,2064
FEIST,6.99,2436
"Gloria Victis",14.99,2646
"Out of Reach",10.99,6048
"Tilt Brush",14.99,796
"The Marvellous Miss Take",14.99,2350
"Sid Meier's Colonization (Classic)",4.99,2720
"A Bird Story",2.79,5987
"Hail to the King: Deathbat",4.79,1911
WASTED,9.99,1484
"Near Death",10.99,2775
CaesarIA,0,767
Salt,11.39,2468
"Sublevel Zero Redux",10.99,2060
"I am Bread",9.99,4088
"Reflex Arena",6.99,1224
"Rise to Ruins",6.99,2850
"Gunspell - Steam Edition",9.99,1350
"Leviathan: The Last Day of the Decade",10.99,924
"Potatoman Seeks the Troof",2.79,2786
"SanctuaryRPG: Black Edition",5.79,1218
"The Deer God",10.99,1981
"Devil May Cry 4 Special Edition",19.99,5036
"Gems of War - Puzzle RPG",0,3198
Reassembly,11.39,2258
"Stealth Inc 2: A Game of Clones",12.99,1300
"State of Decay: YOSE",22.99,3894
"Sonic Lost World",19.99,4000
"Phantom Breaker: Battle Grounds",8.99,2220
NAM,4.99,2448
"The Moon Sliver",1.59,2356
"Catlateral Damage",6.99,1716
"Pix the Cat",6.99,1434
"Warlocks vs Shadows",9.99,2450
"Grandia II Anniversary Edition",14.99,2122
"Celestial Command",7.99,1827
"Shark Attack Deathmatch 2",1.99,1101
"Tales from the Borderlands",11.99,14338
"Passing Pineview Forest",0,1100
"Grass Simulator",3.99,1964
"Heavy Metal Machines",0,3652
"Winged Sakura: Mindy's Arc",10.99,2394
"bit Dungeon II",2.79,1599
"Everlasting Summer",0,31230
Pinstripe,10.99,4292
